Id,MeasurementTime,SensorName,SensorDescription,SensorDetails,Type,Units,CurrentValue,Lat,Long
13431746,2020-06-10T07:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/3,pressure,decibars,0.466,-31.64478,152.82822
13431747,2020-06-10T07:00:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.521074876,-31.64478,152.82822
13432027,2020-06-10T08:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/1,temperature,degrees Celsius,18.2213,-31.64478,152.82822
13432028,2020-06-10T08:40:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/1,temperature,degrees Celsius,18.27,-31.64478,152.82822
13432029,2020-06-10T08:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.460911632,-31.64478,152.82822
13432030,2020-06-10T08:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/4,salinity,parts per thousand,32.420257966783,-31.64478,152.82822
13432031,2020-06-10T08:30:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/1,temperature,degrees Celsius,18.2882,-31.64478,152.82822
13432032,2020-06-10T08:40:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.455813052,-31.64478,152.82822
13432033,2020-06-10T08:40:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/4,salinity,parts per thousand,32.487875315222,-31.64478,152.82822
13432034,2020-06-10T08:20:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/1,temperature,degrees Celsius,18.2972,-31.64478,152.82822
13432035,2020-06-10T08:30:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.45377362,-31.64478,152.82822
13432036,2020-06-10T08:30:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/4,salinity,parts per thousand,32.522839412186,-31.64478,152.82822
13432037,2020-06-10T08:10:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/1,temperature,degrees Celsius,18.3,-31.64478,152.82822
13432038,2020-06-10T08:20:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.454793336,-31.64478,152.82822
13432039,2020-06-10T08:00:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/1,temperature,degrees Celsius,18.31,-31.64478,152.82822
13432040,2020-06-10T08:20:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/4,salinity,parts per thousand,32.518720078923,-31.64478,152.82822
13432041,2020-06-10T08:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/2,conductivity,Siemens per meter,4.28899,-31.64478,152.82822
13432042,2020-06-10T08:10:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.461931348,-31.64478,152.82822
13432043,2020-06-10T08:10:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/4,salinity,parts per thousand,32.507366794564,-31.64478,152.82822
13432044,2020-06-10T08:00:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/4,salinity,parts per thousand,32.509376225424,-31.64478,152.82822
13432045,2020-06-10T08:00:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.468049644,-31.64478,152.82822
13432046,2020-06-10T08:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/3,pressure,decibars,0.452,-31.64478,152.82822
13432302,2020-06-10T09:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/1,temperature,degrees Celsius,18.0905,-31.64478,152.82822
13432303,2020-06-10T09:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.531272036,-31.64478,152.82822
